comparison_type,estimand,threshold,reference_value,reference_method,source_sha256
mean,lambda,,1.1347690848653513,independent_Gauss-Legendre_quadrature,413148d9da9cd15ba9714edbe350762e915874eee27cfeb9c9b280e3ac585b9a
mean,lower_root,,-1.429561444961876,independent_Gauss-Legendre_quadrature,413148d9da9cd15ba9714edbe350762e915874eee27cfeb9c9b280e3ac585b9a
mean,upper_root,,2.4442393354324303,independent_Gauss-Legendre_quadrature,413148d9da9cd15ba9714edbe350762e915874eee27cfeb9c9b280e3ac585b9a
mean,width,,3.8738007803943084,independent_Gauss-Legendre_quadrature,413148d9da9cd15ba9714edbe350762e915874eee27cfeb9c9b280e3ac585b9a
mean,midpoint,,0.5073389452352769,independent_Gauss-Legendre_quadrature,413148d9da9cd15ba9714edbe350762e915874eee27cfeb9c9b280e3ac585b9a
mean,total_loss,,10.163729538711271,independent_Gauss-Legendre_quadrature,413148d9da9cd15ba9714edbe350762e915874eee27cfeb9c9b280e3ac585b9a
cdf,lambda,1,0.3472475843,independent_Gauss-Legendre_quadrature,413148d9da9cd15ba9714edbe350762e915874eee27cfeb9c9b280e3ac585b9a
cdf,lower_root,-1.5,0.4098099271,independent_Gauss-Legendre_quadrature,413148d9da9cd15ba9714edbe350762e915874eee27cfeb9c9b280e3ac585b9a
cdf,upper_root,2.5,0.55879938,independent_Gauss-Legendre_quadrature,413148d9da9cd15ba9714edbe350762e915874eee27cfeb9c9b280e3ac585b9a
cdf,width,4,0.5726763884,independent_Gauss-Legendre_quadrature,413148d9da9cd15ba9714edbe350762e915874eee27cfeb9c9b280e3ac585b9a
cdf,midpoint,0.5,0.4890189502,independent_Gauss-Legendre_quadrature,413148d9da9cd15ba9714edbe350762e915874eee27cfeb9c9b280e3ac585b9a
